scorer,DLC_dlcrnetms5_MOT_NEWJul27shuffle1_50000,DLC_dlcrnetms5_MOT_NEWJul27shuffle1_50000,DLC_dlcrnetms5_MOT_NEWJul27shuffle1_50000,DLC_dlcrnetms5_MOT_NEWJul27shuffle1_50000,DLC_dlcrnetms5_MOT_NEWJul27shuffle1_50000,DLC_dlcrnetms5_MOT_NEWJul27shuffle1_50000,DLC_dlcrnetms5_MOT_NEWJul27shuffle1_50000,DLC_dlcrnetms5_MOT_NEWJul27shuffle1_50000,DLC_dlcrnetms5_MOT_NEWJul27shuffle1_50000,DLC_dlcrnetms5_MOT_NEWJul27shuffle1_50000,DLC_dlcrnetms5_MOT_NEWJul27shuffle1_50000,DLC_dlcrnetms5_MOT_NEWJul27shuffle1_50000,DLC_dlcrnetms5_MOT_NEWJul27shuffle1_50000,DLC_dlcrnetms5_MOT_NEWJul27shuffle1_50000,DLC_dlcrnetms5_MOT_NEWJul27shuffle1_50000
individuals,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1,ind1
bodyparts,bodybase,bodybase,bodybase,tailbase,tailbase,tailbase,headbase,headbase,headbase,noses,noses,noses,tailtail,tailtail,tailtail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
47,1424.649,854.689,1.0,1406.668,909.54,1.0,1433.699,804.847,1.0,1405.94,764.008,1.0,1402.343,938.042,1.0
48,1424.681,854.805,1.0,1406.786,909.538,1.0,1433.033,804.745,1.0,1405.639,764.507,1.0,1402.328,938.136,1.0
49,1424.313,854.873,1.0,1406.85,909.631,1.0,1431.773,804.365,1.0,1408.237,766.66,1.0,1402.307,938.24,1.0
50,1424.452,854.732,1.0,1406.875,909.639,1.0,1431.426,804.581,1.0,1408.168,766.833,1.0,1402.395,938.178,1.0
51,1424.357,854.261,1.0,1407.018,909.695,1.0,1430.905,804.84,1.0,1407.775,766.887,1.0,1402.566,938.225,1.0
52,1424.39,854.412,1.0,1407.103,909.655,1.0,1430.385,804.954,1.0,1408.168,767.016,1.0,1402.586,938.254,1.0
53,1424.389,853.912,1.0,1407.227,909.734,1.0,1430.54,803.914,1.0,1407.717,767.522,1.0,1402.645,938.261,1.0
54,1425.543,855.57,1.0,1407.457,909.945,1.0,1430.69,802.532,1.0,1407.268,767.298,1.0,1402.553,938.344,1.0
55,1427.163,853.084,1.0,1411.485,911.485,1.0,1431.759,803.903,1.0,1405.414,770.404,1.0,1400.638,937.761,1.0
56,1429.812,857.58,1.0,1415.592,912.737,1.0,1432.104,811.132,1.0,1409.317,781.164,1.0,1404.04,935.867,1.0
57,1430.586,855.205,1.0,1416.563,913.098,1.0,1431.401,811.043,1.0,1413.308,786.535,1.0,1404.39,935.907,1.0
58,1432.525,861.703,1.0,1416.279,916.603,1.0,1433.663,823.778,1.0,1414.869,789.504,1.0,1404.201,937.534,1.0
59,1431.404,863.242,1.0,1415.793,918.02,1.0,1431.728,822.696,1.0,1410.408,798.912,1.0,1404.332,938.685,1.0
60,1432.727,874.349,1.0,1415.587,921.549,1.0,1434.981,833.308,1.0,1405.774,808.912,1.0,1405.139,940.636,1.0
61,1431.869,871.528,1.0,1416.011,922.034,1.0,1433.17,841.362,1.0,1394.992,808.308,1.0,1407.506,941.867,1.0
62,1429.214,871.226,1.0,1418.274,923.923,1.0,1428.264,843.828,1.0,1395.852,812.331,1.0,1407.854,943.354,1.0
63,1428.273,871.876,1.0,1418.305,924.592,1.0,1422.235,843.016,1.0,1391.156,812.898,1.0,1406.464,944.12,1.0
64,1425.55,871.875,1.0,1418.162,927.368,1.0,1418.847,835.217,1.0,1387.824,815.66,1.0,1407.737,946.779,1.0
65,1423.746,873.26,1.0,1418.879,928.034,1.0,1416.292,835.896,1.0,1382.369,816.702,1.0,1408.17,947.15,1.0
66,1424.259,872.198,1.0,1418.642,928.14,1.0,1417.241,835.283,1.0,1375.064,823.976,1.0,1407.867,947.357,1.0
67,1422.729,873.112,1.0,1418.53,928.337,1.0,1414.95,836.025,1.0,1374.168,820.94,1.0,1408.0,947.934,1.0
68,1421.714,878.184,1.0,1419.217,928.682,1.0,1412.786,842.427,1.0,1375.146,826.902,1.0,1408.787,948.764,1.0
69,1423.158,881.184,1.0,1420.047,929.687,1.0,1411.503,854.505,1.0,1376.519,834.886,1.0,1408.973,949.29,1.0
70,1423.609,886.52,1.0,1422.852,924.947,1.0,1411.878,850.497,1.0,1375.409,836.841,1.0,1410.663,952.407,1.0
71,1423.662,889.328,1.0,1425.258,926.555,1.0,1412.009,864.156,1.0,1370.545,847.538,1.0,1413.604,954.484,1.0
72,1423.767,890.708,1.0,1427.082,927.63,1.0,1408.134,871.655,1.0,1366.454,854.456,1.0,1413.903,954.654,1.0
73,1423.442,891.213,1.0,1426.456,926.882,1.0,1407.508,875.156,1.0,1365.594,858.083,1.0,1415.055,953.983,1.0
74,1418.416,890.321,1.0,1425.983,928.675,1.0,1401.736,869.433,1.0,1360.015,865.402,1.0,1415.617,955.356,1.0
75,1417.926,891.159,1.0,1426.003,930.595,1.0,1394.927,871.535,1.0,1354.47,872.188,1.0,1416.738,954.516,1.0
76,1418.758,891.81,1.0,1419.665,932.503,1.0,1394.006,878.649,1.0,1349.743,874.969,1.0,1415.069,953.229,1.0
77,1416.857,892.384,1.0,1420.986,933.012,1.0,1391.361,881.726,1.0,1351.992,879.169,1.0,1416.324,952.712,1.0
78,1415.629,894.517,1.0,1421.952,934.178,1.0,1388.329,886.481,1.0,1349.965,881.314,1.0,1415.689,953.407,1.0
79,1415.177,895.845,1.0,1421.83,934.76,1.0,1385.361,885.036,1.0,1342.395,888.463,1.0,1416.82,955.031,1.0
80,1415.586,895.503,1.0,1421.727,934.369,1.0,1383.283,891.386,1.0,1340.564,894.86,1.0,1417.098,955.487,1.0
81,1413.047,895.28,1.0,1421.626,935.251,1.0,1381.074,893.988,1.0,1344.103,898.062,1.0,1416.601,956.575,1.0
82,1411.003,896.023,1.0,1423.481,935.638,1.0,1383.28,895.168,1.0,1340.579,906.126,1.0,1418.517,956.672,1.0
83,1410.208,897.455,1.0,1424.237,936.235,1.0,1380.047,899.049,1.0,1336.986,903.85,1.0,1419.043,957.122,1.0
84,1409.33,899.878,1.0,1443.341,899.64,0.9660000205039978,1378.979,903.31,1.0,1334.731,907.857,1.0,1419.5,956.834,1.0
85,1409.68,901.392,1.0,1423.916,935.732,1.0,1378.452,905.959,1.0,1332.28,910.838,1.0,1418.776,957.285,1.0
86,1408.507,901.592,1.0,1423.413,936.178,1.0,,,0.0,,,0.0,1417.87,957.681,1.0
87,1408.427,900.677,1.0,1422.745,936.641,1.0,1375.893,908.533,1.0,1334.896,910.74,1.0,1417.904,957.818,1.0
88,1408.279,900.262,1.0,1423.681,934.162,1.0,1378.268,901.313,1.0,1330.781,912.49,1.0,1418.763,956.282,1.0
89,1402.935,900.916,1.0,1424.282,934.716,1.0,1375.266,903.246,1.0,1326.685,912.039,1.0,1418.762,956.092,1.0
90,1399.991,901.419,1.0,1424.121,933.8,1.0,1366.736,902.581,1.0,1329.053,916.81,1.0,1419.225,955.75,1.0
91,1397.114,902.043,1.0,1424.232,934.161,1.0,1360.609,903.062,1.0,1325.36,919.825,1.0,1418.882,955.49,1.0
